DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1903-0011-FRA,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Metro,FRA,France,Western Europe,Europe,Couronnes station (Paris),,,No,No,No,,,,,,,1903,8.0,10.0,1903,8.0,10.0,84.0,,,,,,,,,,,2.948887010904963,,2003-07-01,2023-09-25
1906-0010-FRA,Yes,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Mine,FRA,France,Western Europe,Europe,Courrieres,,,No,No,No,,,m3,,,,1906,3.0,10.0,1906,3.0,10.0,1099.0,,14.0,,14.0,,,,,,,2.948887010904963,,2005-04-13,2023-09-25
1906-0027-FRA,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,"Navire ""Comte de Smet de Nayer""",FRA,France,Western Europe,Europe,Gascognes Gulf,Violent storm,,No,No,No,,,,,,,1906,4.0,19.0,1906,4.0,19.0,34.0,,19.0,,19.0,,,,,,,2.948887010904963,,2005-04-13,2023-09-25
1909-0009-FRA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,FRA,France,Western Europe,Europe,"Lambesc, Saint-Cannat, Rognes, Vernegues, Charleval, La Roque d'Antheron (Haute-Provence)",,,No,No,No,,6.2,Moment Magnitude,44.05,6.14,,1909,6.0,11.0,1909,6.0,11.0,46.0,,,,,,,,,,,2.948887010904963,,2004-01-21,2023-09-25
1917-0019-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Zeppelin L-44,FRA,France,Western Europe,Europe,Near Luneville,,,No,No,No,,,,,,,1917,10.0,20.0,1917,10.0,20.0,18.0,,,,,,,,,,,4.20018168502572,,2003-07-01,2023-09-25
1917-0020-FRA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,FRA,France,Western Europe,Europe,Modane,,,No,No,No,,,,,,,1917,12.0,12.0,1917,12.0,12.0,543.0,,,,,,,,,,,4.20018168502572,,2003-07-01,2023-09-25
1923-0011-FRA,Yes,tec-mis-col-col,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),,Dam,FRA,France,Western Europe,Europe,Gleno,,,No,No,No,,,,,,,1923,12.0,,1923,12.0,,600.0,,,,,,,,,,,5.611180219839047,,2003-07-01,2023-09-25
1926-0020-FRA,Yes,nat-hyd-mmw-mud,Natural,Hydrological,Mass movement (wet),Mudslide,,,FRA,France,Western Europe,Europe,Roquebillière (Alpes-Maritimes),,,No,No,No,,,,,,,1926,11.0,24.0,1926,11.0,24.0,28.0,,,,,,,,,,,5.808063736324628,,2007-03-30,2023-09-25
1930-0026-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Royal Airship Works R-101,FRA,France,Western Europe,Europe,Near Beauvais,,,No,No,No,,,,,,,1930,10.0,6.0,1930,10.0,6.0,48.0,,,,,,,,,,,5.479924542181993,,2003-07-01,2023-09-25
1930-0027-FRA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,FRA,France,Western Europe,Europe,"Lyon (Rhone) - Colline des Balmes, quartier Saint-Jean",,,No,No,No,,,,,,,1930,11.0,13.0,1930,11.0,13.0,40.0,,,,,,,,,,,5.479924542181993,,2007-03-30,2023-09-25
1931-0013-FRA,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,"Boat ""Saint Philibert""",FRA,France,Western Europe,Europe,Saint-Nazaire,,,No,No,No,,,,,,,1931,6.0,14.0,1931,6.0,14.0,500.0,,,,,,,,,,,4.987715750968041,,2003-07-01,2023-09-25
1932-0013-FRA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,FRA,France,Western Europe,Europe,"Lyon (Rhone), cours d'Herbouville",,,No,No,No,,,,,,,1932,5.0,8.0,1932,5.0,8.0,30.0,,,,,,,,,,,4.462693040339826,,2007-03-30,2023-09-25
1933-0025-FRA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,FRA,France,Western Europe,Europe,Lagny-Pomponne,,,No,No,No,,,,,,,1933,12.0,23.0,1933,12.0,23.0,230.0,300.0,,,300.0,,,,,,,4.232995604439982,,2003-07-01,2023-09-25
1939-0004-FRA,Yes,tec-tra-wat-wat,Technological,Transport,Water,Water,,,FRA,France,Western Europe,Europe,,,,No,No,No,,,,,,,1939,6.0,15.0,1939,6.0,15.0,63.0,,,,,,,,,,,4.561134798582617,,2003-07-01,2023-09-25
1939-0019-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Junkers JU-52/3m,FRA,France,Western Europe,Europe,Roubion,,,No,No,No,,,,,,,1939,2.0,24.0,1939,2.0,24.0,10.0,,,,,,,,,,,4.561134798582617,,2003-07-01,2023-09-25
1940-0003-FRA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,FRA,France,Western Europe,Europe,"Vallée du Tech, Amélie-les-Bains; Pyrénées Orientales, Audr",Hevay rains,,No,No,No,,,Km2,,,"Agly, Têt, Tech",1940,10.0,16.0,1940,10.0,20.0,50.0,,,,,,,,,,,4.59394871799688,,2004-01-21,2024-11-08
1941-0025-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Bloch 220,FRA,France,Western Europe,Europe,Bollemont,,,No,No,No,,,,,,,1941,9.0,1.0,1941,9.0,1.0,15.0,,,,,,,,,,,4.823646153896725,,2003-07-01,2023-09-25
1943-0036-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Douglas DC-3,FRA,France,Western Europe,Europe,Off the coast of France,,,No,No,No,,,,,,,1943,6.0,1.0,1943,6.0,1.0,17.0,,,,,,,,,,,5.676808058667574,,2003-07-01,2023-09-25
1944-0030-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Douglas C-47A,FRA,France,Western Europe,Europe,Flamanville,,,No,No,No,,,,,,,1944,6.0,6.0,1944,6.0,6.0,22.0,,,,,,,,,,,5.775249816910365,,2003-07-01,2023-09-25
1949-0027-FRA,Yes,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,FRA,France,Western Europe,Europe,Landes,,,No,No,No,,,Km2,,,,1949,8.0,,1949,8.0,,80.0,,,,,,,,,,,7.809712820594696,,2007-08-27,2023-09-25
1952-0035-FRA,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,FRA,France,Western Europe,Europe,Gravelines,,,No,No,No,,,,,,,1952,6.0,1.0,1952,6.0,1.0,34.0,,15.0,,15.0,,,,,,,8.728502564194073,,2004-08-25,2023-09-25
1958-0039-FRA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,FRA,France,Western Europe,Europe,"Gard, Hérault",,,No,No,No,,,Km2,,,,1958,9.0,30.0,1958,10.0,4.0,35.0,,,,,,,,,,,9.471012446628691,,2004-01-21,2023-09-25
1959-0016-FRA,Yes,tec-mis-col-col,Technological,Miscellaneous accident,Collapse (Miscellaneous),Collapse (Miscellaneous),,Dam,FRA,France,Western Europe,Europe,Malpaset (Frejus),,,No,No,No,,,,,,,1959,12.0,2.0,1959,12.0,2.0,412.0,,6000.0,,6000.0,,,,,,,9.566736596790992,,2003-07-01,2023-09-25
1961-0058-FRA,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,FRA,France,Western Europe,Europe,Clamart (Hauts-de-Seine),,,No,No,No,,,,,,,1961,6.0,1.0,1961,6.0,1.0,21.0,,,,,,,,,,,9.810138545655658,,2007-03-30,2023-09-25
1966-0136-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Boeing 707,FRA,France,Western Europe,Europe,Mont Blanc,,,No,No,No,,,,,,,1966,1.0,24.0,1966,1.0,24.0,114.0,,,,,,,,,,,10.652497065501734,,2005-04-15,2023-09-25
